S.No,Country,ISO3,Region,Currency,PIOs,NRIs,Total Diaspora,NRI %,PIO %,Baseline Remittance (USD),Baseline Remittance (INR Crores),DEPI Score,Narrative
171,Solomon Islands,SLB,Asia-Pacific,USD,0,30,30,100.0,0.0,144000,1.25,57.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
172,Somalia,SOM,Africa,USD,0,100,100,100.0,0.0,320000,2.77,60.7,Predominantly active NRI professional and employment community with high direct financial linkage to India.
173,South Africa,ZAF,Africa,ZAR,1722600,77400,1800000,4.3,95.7,350000000,3027.5,63.3,"Historic trading and merchant settlement dating back to the 1860s, forming an influential domestic economic and industrial community."
174,South Sudan,SSD,Africa,USD,0,1000,1000,100.0,0.0,3200000,27.68,68.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
175,Spain,ESP,Europe,EUR,18232,52317,70549,74.2,25.8,680000000,5882.0,79.4,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
176,Sri Lanka,LKA,Asia-Pacific,USD,1600000,7500,1607500,0.5,99.5,108000000,934.2,59.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
177,Sudan,SDN,Africa,USD,0,300,300,100.0,0.0,960000,8.3,64.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
178,Suriname,SUR,Latin America & Caribbean,SRD,165000,125,165125,0.1,99.9,18000000,155.7,52.7,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
179,Sweden,SWE,Europe,USD,24000,67600,91600,73.8,26.2,380000000,3287.0,78.1,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
180,Switzerland,CHE,Europe,CHF,4683,17411,22094,78.8,21.2,600000000,5190.0,79.2,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
181,Syria,SYR,GCC & Middle East,USD,0,0,0,0.0,0.0,0,0.0,19.3,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
182,Taiwan,TWN,Asia-Pacific,USD,31,2524,2555,98.8,1.2,12116595,104.81,72.5,Predominantly active NRI professional and employment community with high direct financial linkage to India.
183,Tajikistan,TJK,Central Asia,USD,0,1760,1760,100.0,0.0,3872000,33.49,69.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
184,Tanzania,TZA,Africa,USD,40000,15000,55000,27.3,72.7,49800000,430.77,61.0,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
185,Thailand,THA,Asia-Pacific,USD,150000,250000,400000,62.5,37.5,1206750000,10438.39,79.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
186,Timor Leste,TLS,Asia-Pacific,USD,0,67,67,100.0,0.0,321600,2.78,60.4,Predominantly active NRI professional and employment community with high direct financial linkage to India.
187,Togo,TGO,Africa,USD,10,1300,1310,99.2,0.8,4160450,35.99,69.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
188,Tonga,TON,Asia-Pacific,USD,50,5,55,9.1,90.9,26250,0.23,31.3,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
189,Trinidad & Tobago,TTO,Latin America & Caribbean,TTD,700000,1200,701200,0.2,99.8,60000000,519.0,57.0,"Historic 19th-century colonial indentured migration hub. Deep cultural and linguistic ties, but minimal family maintenance remittances due to local citizenship."
190,Tunisia,TUN,Africa,USD,9,300,309,97.1,2.9,960405,8.31,63.8,Predominantly active NRI professional and employment community with high direct financial linkage to India.
191,Turkey,TUR,Central Asia,USD,509,3686,4195,87.9,12.1,8132105,70.34,69.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
192,Turkmenistan,TKM,Central Asia,USD,4,100,104,96.2,3.8,220180,1.9,58.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
193,Turks & Caicos Islands,TCA,Latin America & Caribbean,USD,50,300,350,85.7,14.3,602250,5.21,59.9,Predominantly active NRI professional and employment community with high direct financial linkage to India.
194,Tuvalu,TUV,Asia-Pacific,USD,20,0,20,0.0,100.0,900,0.01,19.9,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
195,Uganda,UGA,Africa,USD,9000,29800,38800,76.8,23.2,95765000,828.37,74.6,Predominantly active NRI professional and employment community with high direct financial linkage to India.
196,Ukraine,UKR,Europe,USD,0,1150,1150,100.0,0.0,5980000,51.73,70.3,Predominantly active NRI professional and employment community with high direct financial linkage to India.
197,UAE,ARE,GCC & Middle East,AED,17760,4326248,4344008,99.6,0.4,24500000000,211925.0,98.5,Major Gulf labor and trade corridor; 99% NRI workforce with exceptionally high remittance frequency for family maintenance and NRE bank deposits.
198,U.K.,GBR,Europe,GBP,913836,369000,1282836,28.8,71.2,9200000000,79580.0,77.2,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
199,U.S.A.,USA,North America,USD,3767737,2311484,6079221,38.0,62.0,31500000000,272475.0,84.0,"High-income STEM, medical, finance, and corporate management corridor. Generates large per-capita transfers, venture funding, and wealth deposits."
200,Uruguay,URY,Latin America & Caribbean,USD,50,950,1000,95.0,5.0,1902250,16.45,66.1,Predominantly active NRI professional and employment community with high direct financial linkage to India.
201,Uzbekistan,UZB,Central Asia,USD,67,5500,5567,98.8,1.2,12103015,104.69,73.2,Predominantly active NRI professional and employment community with high direct financial linkage to India.
202,Vanuatu,VUT,Asia-Pacific,USD,15,0,15,0.0,100.0,675,0.01,19.7,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
203,Venezuela,VEN,Latin America & Caribbean,USD,29,40,69,58.0,42.0,81305,0.7,46.5,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
204,Vietnam,VNM,Asia-Pacific,USD,0,2700,2700,100.0,0.0,12960000,112.1,73.0,Predominantly active NRI professional and employment community with high direct financial linkage to India.
205,Yemen,YEM,GCC & Middle East,USD,420,700,1120,62.5,37.5,1978900,17.12,58.1,Balanced community of established diaspora citizens (PIOs) and active resident professionals (NRIs).
206,Zambia,ZMB,Africa,USD,25000,5000,30000,16.7,83.3,17125000,148.13,55.1,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
207,Zimbabwe,ZWE,Africa,USD,7400,2100,9500,22.1,77.9,7053000,61.01,53.2,Long-established multi-generational diaspora community integrated into the host nation's economic fabric.
